code	url	label	ordinal	site
NW-1001	https://field.stigg.ca/p/NW-1001	Front entrance	1	Parkview I Apartments
NW-1002	https://field.stigg.ca/p/NW-1002	Lobby / mail	2	Parkview I Apartments
NW-1003	https://field.stigg.ca/p/NW-1003	Parking area	3	Parkview I Apartments
NW-1004	https://field.stigg.ca/p/NW-1004	Stairwell A	4	Parkview I Apartments
NW-1005	https://field.stigg.ca/p/NW-1005	Laundry room	5	Parkview I Apartments
NW-1006	https://field.stigg.ca/p/NW-1006	Rear / perimeter	6	Parkview I Apartments
NW-2001	https://field.stigg.ca/p/NW-2001	Front entrance	1	Parkview II Apartments
NW-2002	https://field.stigg.ca/p/NW-2002	Lobby / mail	2	Parkview II Apartments
NW-2003	https://field.stigg.ca/p/NW-2003	Parking area	3	Parkview II Apartments
NW-2004	https://field.stigg.ca/p/NW-2004	Stairwell A	4	Parkview II Apartments
NW-2005	https://field.stigg.ca/p/NW-2005	Laundry room	5	Parkview II Apartments
NW-2006	https://field.stigg.ca/p/NW-2006	Rear / perimeter	6	Parkview II Apartments
NW-3001	https://field.stigg.ca/p/NW-3001	Front entrance	1	6 Nixon
NW-3002	https://field.stigg.ca/p/NW-3002	Lobby / mail	2	6 Nixon
NW-3003	https://field.stigg.ca/p/NW-3003	Parking area	3	6 Nixon
NW-3004	https://field.stigg.ca/p/NW-3004	Stairwell A	4	6 Nixon
NW-3005	https://field.stigg.ca/p/NW-3005	Laundry room	5	6 Nixon
NW-3006	https://field.stigg.ca/p/NW-3006	Rear / perimeter	6	6 Nixon
NW-4001	https://field.stigg.ca/p/NW-4001	Front entrance	1	4 Nixon
NW-4002	https://field.stigg.ca/p/NW-4002	Lobby / mail	2	4 Nixon
NW-4003	https://field.stigg.ca/p/NW-4003	Parking area	3	4 Nixon
NW-4004	https://field.stigg.ca/p/NW-4004	Stairwell A	4	4 Nixon
NW-4005	https://field.stigg.ca/p/NW-4005	Laundry room	5	4 Nixon
NW-4006	https://field.stigg.ca/p/NW-4006	Rear / perimeter	6	4 Nixon
NW-5001	https://field.stigg.ca/p/NW-5001	Front entrance	1	16 Saunderson
NW-5002	https://field.stigg.ca/p/NW-5002	Lobby / mail	2	16 Saunderson
NW-5003	https://field.stigg.ca/p/NW-5003	Parking area	3	16 Saunderson
NW-5004	https://field.stigg.ca/p/NW-5004	Stairwell A	4	16 Saunderson
NW-5005	https://field.stigg.ca/p/NW-5005	Laundry room	5	16 Saunderson
NW-5006	https://field.stigg.ca/p/NW-5006	Rear / perimeter	6	16 Saunderson
NW-6001	https://field.stigg.ca/p/NW-6001	Front entrance	1	15 Saunderson
NW-6002	https://field.stigg.ca/p/NW-6002	Lobby / mail	2	15 Saunderson
NW-6003	https://field.stigg.ca/p/NW-6003	Parking area	3	15 Saunderson
NW-6004	https://field.stigg.ca/p/NW-6004	Stairwell A	4	15 Saunderson
NW-6005	https://field.stigg.ca/p/NW-6005	Laundry room	5	15 Saunderson
NW-6006	https://field.stigg.ca/p/NW-6006	Rear / perimeter	6	15 Saunderson
NW-7001	https://field.stigg.ca/p/NW-7001	Front entrance	1	MacDonald Place
NW-7002	https://field.stigg.ca/p/NW-7002	Lobby / mail	2	MacDonald Place
NW-7003	https://field.stigg.ca/p/NW-7003	Parking area	3	MacDonald Place
NW-7004	https://field.stigg.ca/p/NW-7004	Stairwell A	4	MacDonald Place
NW-7005	https://field.stigg.ca/p/NW-7005	Laundry room	5	MacDonald Place
NW-7006	https://field.stigg.ca/p/NW-7006	Rear / perimeter	6	MacDonald Place
